IN_FID	NEAR_FID	NEAR_DIST	reserve	vegetation
5848	126	60.96584935070	Bruce Ridge NR	Open Forest
5848	158	84.59038059170	Bruce Ridge NR	Open Forest
5848	183	90.54830956020	Bruce Ridge NR	Open Forest
5849	167	29.33600341280	Bruce Ridge NR	Open Forest
5849	166	12.90336581990	Bruce Ridge NR	Open Forest
5850	148	16.96521940680	Bruce Ridge NR	Open Forest
5850	207	94.23045724670	Bruce Ridge NR	Open Forest
5850	208	4.29288761530	Bruce Ridge NR	Open Forest
5851	126	74.07550474240	Bruce Ridge NR	Open Forest
5851	149	53.59733775450	Bruce Ridge NR	Open Forest
5852	126	72.99407460410	Bruce Ridge NR	Open Forest
5853	211	67.31631783090	Bruce Ridge NR	Open Forest
5853	215	71.91904490460	Bruce Ridge NR	Open Forest
5854	98	22.52495592260	Bruce Ridge NR	Open Forest
5855	223	54.17479350620	Bruce Ridge NR	Forest
5856	148	29.38356805020	Bruce Ridge NR	Open Forest
5856	207	31.78573957100	Bruce Ridge NR	Open Forest
5856	208	93.96021798830	Bruce Ridge NR	Open Forest
5856	126	19.12107901320	Bruce Ridge NR	Open Forest
5856	149	30.08700846140	Bruce Ridge NR	Open Forest
5857	126	9.39418616416	Bruce Ridge NR	Open Forest
5857	158	19.25284354240	Bruce Ridge NR	Open Forest
5858	76	53.08193470930	Bruce Ridge NR	Open Forest
5858	162	29.36209433980	Bruce Ridge NR	Open Forest
5858	208	68.89473297600	Bruce Ridge NR	Open Forest
5858	219	94.84475416120	Bruce Ridge NR	Open Forest
5859	148	56.77363195290	Bruce Ridge NR	Forest
5859	149	10.06526093450	Bruce Ridge NR	Forest
5860	148	72.38220808030	Bruce Ridge NR	Open Forest
5860	207	74.89170513750	Bruce Ridge NR	Open Forest
5860	208	80.16044384910	Bruce Ridge NR	Open Forest
5860	126	52.14815286310	Bruce Ridge NR	Open Forest
5860	149	76.65718165320	Bruce Ridge NR	Open Forest
5861	139	56.63550101830	Bruce Ridge NR	Open Forest
5861	126	96.43871322710	Bruce Ridge NR	Open Forest
5862	211	4.97361710519	Bruce Ridge NR	Forest
5863	158	99.30817847180	Bruce Ridge NR	Open Forest
5864	223	44.93850444010	Bruce Ridge NR	Open Forest
5865	138	65.78118168980	Bruce Ridge NR	Forest
